time_iso,FSAT-DP1,FSAT-DP2,FSAT-LDR
2026-03-21T10:53:25Z,4366.139207,4380.768105,4373.475484
2026-03-21T10:54:25Z,4472.420416,4493.737411,4483.168114
2026-03-21T10:55:25Z,4606.515451,4634.458471,4620.643786
2026-03-21T10:56:25Z,4765.827088,4800.181052,4783.227810
2026-03-21T10:57:25Z,4947.662090,4988.094707,4968.167514
2026-03-21T10:58:25Z,5149.369235,5195.464900,5172.769387
2026-03-21T10:59:25Z,5368.435394,5419.723982,5394.492611
2026-03-21T11:00:25Z,5602.542714,5658.522145,5631.003113
2026-03-21T11:01:25Z,5849.594678,5909.747521,5880.196596
2026-03-21T11:02:25Z,6107.719962,6171.525016,6140.199839
2026-03-21T11:03:25Z,6375.262040,6442.202048,6409.358335
2026-03-21T11:04:25Z,6650.760741,6720.327294,6686.216402
2026-03-21T11:05:25Z,6932.930086,7004.626620,6969.494053
2026-03-21T11:06:25Z,7220.635216,7293.978751,7258.063275
2026-03-21T11:07:25Z,7512.870053,7587.392179,7550.925307
2026-03-21T11:08:25Z,7808.736554,7883.983989,7847.189676
2026-03-21T11:09:25Z,8107.425909,8182.960850,8146.055294
2026-03-21T11:10:25Z,8408.201719,8483.602131,8446.793602
2026-03-21T11:11:25Z,8710.385015,8785.244959,8748.733614
2026-03-21T11:12:25Z,9013.340920,9087.270948,9051.248614
2026-03-21T11:13:25Z,9316.466664,9389.094345,9353.744243
2026-03-21T11:14:25Z,9619.180736,9690.151300,9655.647705
2026-03-21T11:15:25Z,9920.912880,9989.890017,9956.397852
2026-03-21T11:16:25Z,10221.094749,10287.761548,10255.435906
2026-03-21T11:17:25Z,10519.150975,10583.211035,10552.196613
2026-03-21T11:18:25Z,10814.490544,10875.669249,10846.099709
2026-03-21T11:19:25Z,-11106.498209,-11164.544192,-11136.541421
2026-03-21T11:20:25Z,-11394.525990,-11449.212801,-11422.886071
2026-03-21T11:21:25Z,-11677.884578,-11729.012580,-11704.457598
2026-03-21T11:22:25Z,-11955.834694,-12003.233216,-11980.531038
2026-03-21T11:23:25Z,-12227.578460,-12271.108233,-12250.324044
2026-03-21T11:24:25Z,-12492.250980,-12531.806876,-12512.988617
2026-03-21T11:25:25Z,-12748.912435,-12784.426533,-12767.603367
2026-03-21T11:26:25Z,-12996.541212,-13027.986180,-13013.166806
2026-03-21T11:27:25Z,-13234.028793,-13261.421545,-13248.592384
2026-03-21T11:28:25Z,-13460.177405,-13483.582938,-13472.706235
2026-03-21T11:29:25Z,-13673.701785,-13693.237021,-13684.248970
2026-03-21T11:30:25Z,-13873.236457,-13889.073802,-13881.882824
2026-03-21T11:31:25Z,-14057.350498,-14069.720712,-14064.206109
2026-03-21T11:32:25Z,-14224.571349,-14233.765157,-14229.776416
2026-03-21T11:33:25Z,-14373.419056,-14379.786841,-14377.143929
2026-03-21T11:34:25Z,-14502.451449,-14506.400276,-14504.895282
2026-03-21T11:35:25Z,-14610.319307,-14612.306600,-14611.707063
2026-03-21T11:36:25Z,-14695.828666,-14696.352094,-14696.406221
2026-03-21T11:37:25Z,-14758.005310,-14757.588855,-14758.032616
2026-03-21T11:38:25Z,-14796.154685,-14795.331432,-14795.897252
2026-03-21T11:39:25Z,-14809.909647,-14809.202476,-14809.628923
2026-03-21T11:40:25Z,-14799.259287,-14799.161124,-14799.202744
2026-03-21T11:41:25Z,-14764.554103,-14765.509612,-14764.946000
2026-03-21T11:42:25Z,-14706.486868,-14708.877318,-14707.520546
2026-03-21T11:43:25Z,-14626.051866,-14630.184380,-14627.884211
2026-03-21T11:44:25Z,-14524.488515,-14530.590245,-14527.236884
2026-03-21T11:45:25Z,-14403.216902,-14411.433934,-14406.958413
2026-03-21T11:46:25Z,-14263.772604,-14274.172898,-14268.545469
2026-03-21T11:47:25Z,-14107.746819,-14120.326145,-14113.553197
2026-03-21T11:48:25Z,-13936.735725,-13951.425519,-13943.545568
2026-03-21T11:49:25Z,-13752.300877,-13768.977047,-13760.056273
2026-03-21T11:50:25Z,-13555.940734,-13574.432663,-13564.560370
2026-03-21T11:51:25Z,-13349.072252,-13369.171470,-13358.455736
2026-03-21T11:52:25Z,-13133.020884,-13154.489092,-13143.052751
2026-03-21T11:53:25Z,-12909.017102,-12931.593410,-12919.570438
2026-03-21T11:54:25Z,-12678.197755,-12701.605097,-12689.137420
2026-03-21T11:55:25Z,-12441.610712,-12465.561488,-12452.796177
2026-03-21T11:56:25Z,-12200.221638,-12224.422657,-12211.509473
2026-03-21T11:57:25Z,-11954.921972,-11979.078807,-11966.168043
2026-03-21T11:58:25Z,-11706.537477,-11730.358325,-11717.598891
2026-03-21T11:59:25Z,-11455.836921,-11479.036063,-11466.573772
2026-03-21T12:00:25Z,-11203.540592,-11225.841543,-11213.817543
2026-03-21T12:01:25Z,-10950.328497,-10971.466912,-10960.016247
2026-03-21T12:02:25Z,-10696.848159,-10716.574554,-10705.824803
2026-03-21T12:03:25Z,-10443.721926,-10461.804276,-10451.874262
2026-03-21T12:04:25Z,-10191.553922,-10207.780157,-10198.778694
2026-03-21T12:05:25Z,-9940.936491,-9955.116939,-9947.141613
2026-03-21T12:06:25Z,-9692.456286,-9704.426074,-9697.562035
2026-03-21T12:07:25Z,-9446.699958,-9456.321396,-9450.640162
2026-03-21T12:08:25Z,-9204.259483,-9211.424437,-9206.982701
2026-03-21T12:09:25Z,-8965.737107,-8970.369356,-8967.207799
2026-03-21T12:10:25Z,-8731.749873,-8733.807446,-8731.949560
2026-03-21T12:11:25Z,-8502.933679,-8502.411148,-8501.862082
2026-03-21T12:12:25Z,-8279.946767,-8276.877448,-8277.622897
2026-03-21T12:13:25Z,-8063.472506,-8057.930527,-8059.935692
2026-03-21T12:14:25Z,-7854.221230,-7846.323356,-7849.532024
2026-03-21T12:15:25Z,-7652.931072,-7642.838209,-7647.171995
2026-03-21T12:16:25Z,-7460.367282,-7448.285487,-7453.643325
2026-03-21T12:17:25Z,-7277.319888,-7263.500735,-7269.758694
2026-03-21T12:18:25Z,-7104.599317,-7089.339398,-7096.350936
2026-03-21T12:19:25Z,-6943.029650,-6926.668993,-6934.265753
2026-03-21T12:20:25Z,-6793.439247,-6776.358411,-6784.351686
2026-03-21T12:21:25Z,-6656.648579,-6639.264211,-6647.447184
2026-03-21T12:22:25Z,-6533.455279,-6516.213961,-6524.364803
2026-03-21T12:23:25Z,-6424.616651,-6407.986954,-6415.872827
2026-03-21T12:24:25Z,-6330.830200,-6315.293001,-6322.674925
2026-03-21T12:25:25Z,6252.712969,6238.750233,6245.388724
2026-03-21T12:26:25Z,6190.781059,6178.863502,6184.524760
2026-03-21T12:27:25Z,6145.430469,6136.004664,6140.467028
2026-03-21T12:28:25Z,6116.920953,6110.396603,6113.456910
2026-03-21T12:29:25Z,6105.364232,6102.102388,6103.581836
2026-03-21T12:30:25Z,6110.717671,6111.020642,6110.769794
2026-03-21T12:31:25Z,6132.784068,6136.887657,6134.790262
2026-03-21T12:32:25Z,6171.217612,6179.286082,6175.261525
2026-03-21T12:33:25Z,6225.535471,6237.659415,6231.663707
2026-03-21T12:34:25Z,6295.133980,6311.330980,6303.356362
2026-03-21T12:35:25Z,6379.308037,6399.525811,6389.599117
2026-03-21T12:36:25Z,6477.272197,6501.393752,6489.573793
2026-03-21T12:37:25Z,6588.181978,6616.032219,6602.406450
2026-03-21T12:38:25Z,6711.154204,6742.507447,6727.188197
2026-03-21T12:39:25Z,6845.285334,6879.873226,6862.993745
2026-03-21T12:40:25Z,6989.667258,7027.186691,7008.897208
2026-03-21T12:41:25Z,7143.400228,7183.520941,7163.984885
2026-03-21T12:42:25Z,7305.602902,7347.974567,7327.365058
2026-03-21T12:43:25Z,7475.419664,7519.678332,7498.174987
2026-03-21T12:44:25Z,7652.025499,7697.799376,7675.585457
2026-03-21T12:45:25Z,7834.628775,7881.543318,7858.803215
2026-03-21T12:46:25Z,8022.472301,8070.154691,8047.071717
2026-03-21T12:47:25Z,8214.833007,8262.916038,8239.670514
2026-03-21T12:48:25Z,8411.020597,8459.146077,8435.913657
2026-03-21T12:49:25Z,8610.375359,8658.197074,8635.147291
2026-03-21T12:50:25Z,8812.265490,8859.451805,8836.746793
2026-03-21T12:51:25Z,9016.084024,9062.320181,9040.113547
2026-03-21T12:52:25Z,9221.245545,9266.235715,9244.671533
2026-03-21T12:53:25Z,9427.182799,9470.651921,9449.863836
2026-03-21T12:54:25Z,-9633.343285,-9675.038736,-9655.149144
2026-03-21T12:55:25Z,-9839.185897,-9878.879021,-9859.998327
2026-03-21T12:56:25Z,-10044.177675,-10081.665179,-10063.891113
2026-03-21T12:57:25Z,-10247.790693,-10282.895935,-10266.312926
2026-03-21T12:58:25Z,-10449.499126,-10482.073297,-10466.751899
2026-03-21T12:59:25Z,-10648.776613,-10678.699809,-10664.696180
2026-03-21T13:00:25Z,-10845.093751,-10872.275926,-10859.631365
2026-03-21T13:01:25Z,-11037.916037,-11062.297832,-11051.038378
2026-03-21T13:02:25Z,-11226.702115,-11248.255542,-11238.391645
2026-03-21T13:03:25Z,-11410.902485,-11429.631419,-11421.157706
2026-03-21T13:04:25Z,-11589.958711,-11605.899184,-11598.794321
2026-03-21T13:05:25Z,-11763.303247,-11776.523474,-11770.750163
2026-03-21T13:06:25Z,-11930.359949,-11940.960056,-11936.465178
2026-03-21T13:07:25Z,-12090.545397,-12098.656780,-12095.371723
2026-03-21T13:08:25Z,-12243.271112,-12249.055368,-12246.896568
2026-03-21T13:09:25Z,-12387.946755,-12391.594129,-12390.463851
